"1Forge Finance APIs","Stock and Forex Data and Realtime Quotes",0.0.1,"30-05-2017 08:34:14","27-06-2017 16:49:57"
Authentiq,"Strong authentication, without the passwords.",6,"15-03-2017 14:45:58","03-10-2017 18:36:19"
"Adafruit IO","### The Internet of Things for Everyone

The Adafruit IO HTTP API provides access to your Adafruit I",2.0.0,"10-02-2018 10:41:43","10-02-2018 10:41:43"
Afterbanks,"La estandarización de la conexión con cualquier banco en tiempo real.",3.0.0,"20-09-2017 14:12:57","22-09-2017 19:40:52"
airportsapi,"Get name and website-URL for airports by ICAO code. Covered airports are mostly in Germany.",v1,"26-09-2017 15:09:23","26-09-2017 15:09:23"
"Amadeus Travel Innovation Sandbox",,1.2,"01-02-2017 13:06:13","04-04-2017 17:27:32"
"AWS Migration Hub",<p/>,2017-05-31,"20-08-2017 11:00:29","05-12-2017 13:11:36"
"AWS Certificate Manager","<fullname>AWS Certificate Manager</fullname> <p>Welcome to the AWS Certificate Manager (ACM) API doc",2015-12-08,"02-05-2017 07:59:53","06-02-2018 08:29:45"
"Alexa For Business","Alexa for Business makes it easy for you to use Alexa in your organization. Alexa for Business gives",2017-11-09,"01-12-2017 18:40:16","27-01-2018 11:53:44"
"Amazon API Gateway","<fullname>Amazon API Gateway</fullname> <p>Amazon API Gateway helps developers deliver robust, secur",2015-07-09,"02-05-2017 07:59:53","20-12-2017 09:37:08"
"Application Auto Scaling","<p>With Application Auto Scaling, you can automatically scale your AWS resources. The experience is ",2016-02-06,"02-05-2017 07:59:53","17-01-2018 08:36:44"
"Amazon AppStream","<fullname>Amazon AppStream 2.0</fullname> <p>You can use Amazon AppStream 2.0 to stream desktop appl",2016-12-01,"02-05-2017 07:59:53","24-02-2018 12:06:43"
"AWS AppSync","AWS AppSync provides API actions for creating and interacting with data sources using GraphQL from y",2017-07-25,"30-11-2017 10:12:39","15-02-2018 09:33:19"
"Amazon Athena","<p>Amazon Athena is an interactive query service that lets you use standard SQL to analyze data dire",2017-05-18,"30-05-2017 07:01:55","28-11-2017 16:03:46"
"Auto Scaling","<fullname>Amazon EC2 Auto Scaling</fullname> <p>Amazon EC2 Auto Scaling is designed to automatically",2011-01-01,"02-05-2017 07:59:53","21-02-2018 09:08:17"
